City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Marsh Harbour,BS,76.26,clear sky,26.5412,-77.0636,Abaco Beach Resort
7,Cayenne,GF,80.01,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
17,Durango,MX,77.41,broken clouds,24.8333,-104.8333,
20,Bonthe,SL,79.02,clear sky,7.5264,-12.505,Bonthe Holiday Village
21,Fare,PF,82.26,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
24,Bambous Virieux,MU,77.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
27,Maitum,PH,79.0,overcast clouds,6.0392,124.4986,Pearl Garden
34,Sao Gabriel Da Cachoeira,BR,74.23,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
36,Rikitea,PF,79.79,clear sky,-23.1203,-134.9692,Pension Maro'i
37,Vaini,TO,84.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
39,Caravelas,BR,76.15,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
42,Venice,US,80.01,haze,27.0998,-82.4543,A Beach Retreat On Casey Key
48,Agustin Codazzi,CO,85.91,overcast clouds,10.0341,-73.2361,Hotel perija
55,Axim,GH,78.66,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
56,Hithadhoo,MV,83.37,overcast clouds,-0.6,73.0833,Scoop Guest House
58,Trat,TH,82.0,moderate rain,12.5,102.5,สวนหนิง-อัศ
61,Barra Do Garcas,BR,75.54,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
66,Eyl,SO,77.77,broken clouds,7.9803,49.8164,Amiin Hotel
70,Bandarbeyla,SO,78.19,few clouds,9.4942,50.8122,JABIR HOTEL
80,Foster City,US,77.0,clear sky,37.5586,-122.2711,Crowne Plaza - Foster City Hotel
82,Las Juntas,MX,78.8,scattered clouds,19.4167,-104.7,La casa de la Riata
91,Ranong,TH,77.14,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
92,Ladario,BR,85.08,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
93,Labuhan,ID,78.04,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
94,Hilo,US,75.0,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
96,Salinopolis,BR,77.49,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
97,Avarua,CK,86.0,overcast clouds,-21.2078,-159.775,Paradise Inn
103,Manado,ID,77.0,moderate rain,1.4869999999999999,124.8455,Aryaduta Hotel
104,Atuona,PF,80.94,light rain,-9.8,-139.0333,Villa Enata
107,Acarau,BR,76.93,broken clouds,-2.8856,-40.12,castelo pizzaria
109,Ciudad Bolivar,VE,83.53,overcast clouds,8.1222,-63.5497,Hotel Edi
111,Port Moresby,PG,80.6,few clouds,-9.4431,147.1797,Lamana Hotel
114,Popondetta,PG,83.91,overcast clouds,-8.7537,148.2534,Timos Transit House
115,Oranjestad,AW,82.4,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
118,Georgetown,MY,80.6,scattered clouds,5.4112,100.3354,Cititel Penang
123,Hambantota,LK,77.0,broken clouds,6.1241,81.1185,Bungalow 63
126,Tena,EC,82.4,light rain,-0.9833,-77.8167,Hostal Tena Ñaui
128,Cabo San Lucas,MX,79.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
129,San Cristobal,VE,75.2,fog,7.7669,-72.225,Posada Villaven C.A.
130,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
131,Butaritari,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
133,Laguna,US,77.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
140,Fuerte Olimpo,PY,80.49,heavy intensity rain,-21.0415,-57.8738,Hospedaje DAMI
142,Kapaa,US,78.8,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
144,Taoudenni,ML,79.9,clear sky,22.6783,-3.9836,
147,Ndende,GA,73.94,light rain,-2.4008,11.3581,
148,Barinas,VE,82.38,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
150,Manokwari,ID,76.73,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
152,Mahebourg,MU,75.2,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
155,Blythe,US,80.6,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
157,Alta Floresta,BR,72.52,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
160,Half Moon Bay,US,77.0,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
161,Kibala,TD,87.8,light rain,9.1104,18.3463,
169,Padang,ID,77.0,broken clouds,-0.9492,100.3543,Mercure Padang
171,San Patricio,US,84.2,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
173,Sao Joao Da Barra,BR,77.58,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
175,Conakry,GN,82.4,haze,9.538,-13.6773,Riviera Royal Hotel
177,Senador Jose Porfirio,BR,75.65,broken clouds,-2.5908,-51.9542,Pousada Novo Horizonte
178,Hamilton,US,72.0,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
179,Pangkalanbuun,ID,73.47,light rain,-2.6833,111.6167,Grand Kecubung Hotel
185,Araouane,ML,76.05,clear sky,18.9048,-3.5265,
186,Sola,VU,82.87,scattered clouds,-13.8833,167.55,Leumerus Bungalows
199,Paragominas,BR,72.14,heavy intensity rain,-2.9667,-47.4833,.
201,Davila,PH,75.2,haze,18.4726,120.5763,Blue Ridge Beach Resort
203,Banjar,ID,80.6,few clouds,-8.19,114.9675,The Hamsa Resort
207,Nioro,GM,81.64,clear sky,13.35,-15.75,
212,Olinda,BR,78.8,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
213,Buin,CL,84.2,clear sky,-33.7333,-70.75,Paihuen
216,Touros,BR,77.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
217,Comodoro Rivadavia,AR,75.2,clear sky,-45.8667,-67.5,Austral Hotel
220,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
221,Lewisville,US,80.6,broken clouds,33.0462,-96.9942,Best Western Plus Hotel Lewisville-Dallas
223,Fort Myers Beach,US,82.0,clear sky,26.451999999999998,-81.9481,Lani Kai Island Resort
224,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
229,Itarema,BR,76.28,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
231,Waingapu,ID,79.32,light rain,-9.6567,120.2641,Pondok Wisata Elim
232,Santa Rosa,PH,82.99,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
233,Tefe,BR,77.0,light rain,-3.3542,-64.7114,Aracati Hotel
236,San,ML,89.22,few clouds,13.3034,-4.8956,Hôtel Teriya
237,Rio Grande,BR,72.0,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
238,Tabuk,PH,74.14,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
239,Quatre Cocos,MU,77.0,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
240,Yulara,AU,73.4,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
241,Hatillo,PR,78.8,broken clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
242,Porteirinha,BR,74.79,clear sky,-15.7433,-43.0283,Portal Palace Hotel
244,Finschhafen,PG,83.34,heavy intensity rain,-6.6024,147.8681,Cossam Guest House
245,Chopda,IN,82.08,clear sky,21.25,75.3,CHACHA BHATIJA AAMLET CENTAR
246,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
252,Sorong,ID,78.73,overcast clouds,-0.8833,131.25,The Waigo Hotel
255,Meulaboh,ID,75.88,broken clouds,4.1363,96.1285,Kost Pria
256,Teghra,IN,72.19,clear sky,25.4833,85.95,Slt Shop
257,Kulhudhuffushi,MV,83.43,overcast clouds,6.6221,73.07,Haajy Guest House 1
260,Pimentel,PE,78.8,clear sky,-6.8367,-79.9342,Casona Del Muelle
261,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
263,Isangel,VU,83.01,clear sky,-19.55,169.2667,Volcano Sea View Tree House
265,Biak,ID,77.47,overcast clouds,-0.9131,122.8766,Penginapan Kim
266,Biloela,AU,78.67,clear sky,-24.4167,150.5,Silo Motor Inn
270,General Roca,AR,75.2,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
273,Souillac,MU,75.2,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
276,San Jose De Rio Tinto,HN,80.6,scattered clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
281,Canutama,BR,73.53,moderate rain,-6.5339,-64.3831,Hotel Jhennifer
284,Kavaratti,IN,82.51,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
288,Boyolangu,ID,75.36,overcast clouds,-8.1181,111.8935,Yos ega cv
297,Panama City,PA,89.6,few clouds,8.9936,-79.5197,Hotel Riande Granada Urban
299,Omboue,GA,78.85,broken clouds,-1.5746,9.2618,Hotel Olako
301,Kavieng,PG,84.0,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
302,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
304,Hervey Bay,AU,78.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
307,Yarada,IN,79.59,scattered clouds,17.65,83.2667,Jeevan
308,Blackwater,AU,79.47,clear sky,-23.5833,148.8833,Blackwater Motor Inn
309,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
311,Victoria,HK,73.99,few clouds,22.2855,114.1577,Mini Hotel Central
312,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
315,Kieta,PG,83.77,light rain,-6.2167,155.6333,Uruna Bay Retreat
316,Sao Felix Do Xingu,BR,72.46,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
317,Mana,GF,76.8,light rain,5.6592,-53.7767,LE SAMANA
318,Les Cayes,HT,78.37,scattered clouds,18.2,-73.75,Villa Orphee
319,Ballina,AU,73.99,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
320,Arraial Do Cabo,BR,80.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
321,Port Macquarie,AU,73.0,clear sky,-31.4333,152.9167,Rydges Port Macquarie
