City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Hermanus,ZA,2021-03-27 22:54:11,-34.4187,19.2345,57.99,79,5,1.01,clear sky
1,Batagay-Alyta,RU,2021-03-27 22:55:42,67.8006,130.4114,3.78,89,100,3.15,overcast clouds
2,Ahipara,NZ,2021-03-27 22:55:43,-35.1667,173.1667,66.16,90,100,12.03,overcast clouds
3,Marsh Harbour,BS,2021-03-27 22:55:43,26.5412,-77.0636,76.26,71,0,14.09,clear sky
4,Port Alfred,ZA,2021-03-27 22:54:11,-33.5906,26.891,63.36,74,49,8.86,scattered clouds
5,Prince Rupert,CA,2021-03-27 22:55:44,54.3161,-130.3201,44.6,100,90,16.11,moderate rain
6,Punta Arenas,CL,2021-03-27 22:52:20,-53.15,-70.9167,51.8,62,20,31.07,light rain
7,Cayenne,GF,2021-03-27 22:55:44,4.9333,-52.3333,80.01,83,75,9.22,broken clouds
8,Lasa,IT,2021-03-27 22:55:45,46.6166,10.7002,50.0,75,0,5.75,clear sky
9,Port Lincoln,AU,2021-03-27 22:55:45,-34.7333,135.8667,62.08,68,21,3.11,few clouds
10,Busselton,AU,2021-03-27 22:55:45,-33.65,115.3333,52.0,88,0,7.47,clear sky
11,Hay River,CA,2021-03-27 22:55:46,60.8156,-115.7999,35.6,32,100,12.66,overcast clouds
12,Ribeira Grande,PT,2021-03-27 22:55:46,38.5167,-28.7,60.42,83,91,8.52,overcast clouds
13,Mataura,NZ,2021-03-27 22:55:47,-46.1927,168.8643,59.0,92,99,4.0,overcast clouds
14,Gravdal,NO,2021-03-27 22:55:47,68.1214,13.5031,36.9,97,100,20.67,overcast clouds
15,Nanortalik,GL,2021-03-27 22:55:48,60.1432,-45.2371,14.61,60,99,15.17,overcast clouds
16,Port Elizabeth,ZA,2021-03-27 22:52:30,-33.918,25.5701,62.6,67,0,11.5,clear sky
17,Durango,MX,2021-03-27 22:52:21,24.8333,-104.8333,77.41,8,60,22.7,broken clouds
18,Albany,US,2021-03-27 22:52:36,42.6001,-73.9662,55.0,48,81,3.76,broken clouds
19,Hobart,AU,2021-03-27 22:55:49,-42.8794,147.3294,59.0,63,40,11.5,scattered clouds
20,Bonthe,SL,2021-03-27 22:55:49,7.5264,-12.505,79.02,88,3,7.05,clear sky
21,Fare,PF,2021-03-27 22:55:49,-16.7,-151.0167,82.26,74,38,21.12,scattered clouds
22,Longyearbyen,SJ,2021-03-27 22:55:50,78.2186,15.6401,26.6,80,90,35.68,snow
23,East London,ZA,2021-03-27 22:51:45,-33.0153,27.9116,65.86,73,83,12.24,broken clouds
24,Bambous Virieux,MU,2021-03-27 22:55:50,-20.3428,57.7575,77.0,88,75,5.75,broken clouds
25,Castro,BR,2021-03-27 22:55:51,-24.7911,-50.0119,67.08,87,91,2.95,overcast clouds
26,Craig,US,2021-03-27 22:55:51,40.5153,-107.5464,46.4,34,90,8.05,overcast clouds
27,Maitum,PH,2021-03-27 22:55:51,6.0392,124.4986,79.0,83,100,2.21,overcast clouds
28,Bilma,NE,2021-03-27 22:55:52,18.6853,12.9164,70.99,16,0,14.79,clear sky
29,Tuktoyaktuk,CA,2021-03-27 22:55:52,69.4541,-133.0374,-13.0,77,40,6.91,scattered clouds
30,Petropavlovsk-Kamchatskiy,RU,2021-03-27 22:55:53,53.0452,158.6483,30.2,47,98,26.84,overcast clouds
31,Thompson,CA,2021-03-27 22:55:53,55.7435,-97.8558,23.0,54,75,6.91,broken clouds
32,Iqaluit,CA,2021-03-27 22:55:53,63.7506,-68.5145,-7.01,71,75,2.26,broken clouds
33,Vadinsk,RU,2021-03-27 22:55:54,53.6916,43.0574,31.41,91,100,7.45,overcast clouds
34,Sao Gabriel Da Cachoeira,BR,2021-03-27 22:55:54,-0.1303,-67.0892,74.23,96,72,3.0,moderate rain
35,Severo-Kurilsk,RU,2021-03-27 22:55:55,50.6789,156.125,27.16,82,100,36.28,light snow
36,Rikitea,PF,2021-03-27 22:55:55,-23.1203,-134.9692,79.79,68,1,18.05,clear sky
37,Vaini,TO,2021-03-27 22:55:56,-21.2,-175.2,84.2,84,40,8.05,scattered clouds
