City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Grand Baie,MU,2021-03-25 01:02:15,-20.0182,57.5802,77.0,87,18,1.01
1,Kichmengskiy Gorodok,RU,2021-03-25 01:02:15,59.9816,45.7854,34.48,92,96,11.27
2,Saldanha,ZA,2021-03-25 01:02:15,-33.0117,17.9442,69.8,68,0,2.3
3,Shubarkuduk,KZ,2021-03-25 01:02:16,49.1447,56.4872,31.77,90,100,22.46
4,Rikitea,PF,2021-03-25 01:02:16,-23.1203,-134.9692,79.45,73,10,14.43
5,Muriti,TZ,2021-03-25 01:02:17,-1.9833,32.9167,74.03,69,56,10.29
6,Marsh Harbour,BS,2021-03-25 01:02:17,26.5412,-77.0636,75.99,74,2,3.76
7,Kodiak,US,2021-03-25 01:02:18,57.79,-152.4072,44.6,57,75,6.91
8,Mar Del Plata,AR,2021-03-25 01:02:18,-38.0023,-57.5575,70.0,88,75,3.44
9,Vaini,TO,2021-03-25 01:02:18,-21.2,-175.2,78.62,81,100,25.1
10,Ambon,ID,2021-03-25 01:02:19,-3.6954,128.1814,84.2,74,40,4.61
11,Carmen,MX,2021-03-25 01:02:19,18.6333,-91.8333,82.4,83,40,4.61
12,Bereda,ES,2021-03-25 01:02:20,43.2686,-7.5406,43.0,99,84,1.99
13,Karratha,AU,2021-03-25 01:02:20,-20.7377,116.8463,86.22,50,5,5.01
14,Saskylakh,RU,2021-03-25 01:02:21,71.9167,114.0833,-4.5,92,100,8.97
15,Tuatapere,NZ,2021-03-25 01:02:21,-46.1333,167.6833,63.0,75,5,3.0
16,Punta Arenas,CL,2021-03-25 01:00:45,-53.15,-70.9167,48.2,71,40,21.85
17,Sinjai,ID,2021-03-25 01:02:22,-5.1241,120.253,83.3,73,36,3.58
18,Tuka,PH,2021-03-25 01:02:22,6.52,124.585,82.87,71,54,3.71
19,Varhaug,NO,2021-03-25 01:02:22,58.6147,5.6457,42.01,93,98,1.99
20,Puerto Ayora,EC,2021-03-25 01:02:23,-0.7393,-90.3518,77.0,93,22,1.01
21,Arraial Do Cabo,BR,2021-03-25 00:58:58,-22.9661,-42.0278,77.0,88,0,4.36
22,Vila Franca Do Campo,PT,2021-03-25 01:02:23,37.7167,-25.4333,55.4,71,20,4.61
23,Poronaysk,RU,2021-03-25 01:02:24,49.2167,143.1167,28.02,75,0,4.07
24,Tiksi,RU,2021-03-25 01:02:24,71.6872,128.8694,-17.43,93,50,4.5
25,Caravelas,BR,2021-03-25 01:02:24,-17.7125,-39.2481,75.22,83,0,5.06
26,Jamestown,US,2021-03-25 01:02:25,42.097,-79.2353,60.01,72,20,11.41
27,Pevek,RU,2021-03-25 01:02:25,69.7008,170.3133,-11.47,90,100,3.24
28,Ushuaia,AR,2021-03-25 01:02:25,-54.8,-68.3,42.8,75,20,29.93
29,Castro,BR,2021-03-25 01:02:26,-24.7911,-50.0119,65.21,88,61,2.8
30,Lampazos De Naranjo,MX,2021-03-25 01:02:26,27.0167,-100.5167,80.06,5,92,4.56
31,Pitimbu,BR,2021-03-25 01:02:26,-7.4706,-34.8086,75.2,100,90,9.22
32,Ahipara,NZ,2021-03-25 01:02:27,-35.1667,173.1667,70.16,55,10,3.44
33,Mataura,NZ,2021-03-25 01:01:29,-46.1927,168.8643,63.0,75,9,3.0
34,New Norfolk,AU,2021-03-25 01:02:27,-42.7826,147.0587,63.0,70,100,1.99
35,Carnarvon,AU,2021-03-25 01:02:27,-24.8667,113.6333,75.2,73,21,17.27
36,Butaritari,KI,2021-03-25 01:02:28,3.0707,172.7902,81.91,79,25,16.91
37,Port Blair,IN,2021-03-25 01:02:28,11.6667,92.75,82.33,76,35,6.91
38,Siguiri,GN,2021-03-25 01:02:29,11.6667,-9.5,82.78,15,100,1.66
39,Albany,US,2021-03-25 01:02:29,42.6001,-73.9662,52.0,84,100,4.0
40,Hovd,MN,2021-03-25 01:02:30,48.0056,91.6419,29.93,22,61,5.3
41,Saint-Philippe,RE,2021-03-25 01:02:30,-21.3585,55.7679,77.0,73,0,6.91
42,Busselton,AU,2021-03-25 01:02:30,-33.65,115.3333,62.01,77,25,1.01
43,Port Elizabeth,ZA,2021-03-25 01:02:31,-33.918,25.5701,68.0,88,75,8.05
44,Leh,IN,2021-03-25 00:59:42,34.1667,77.5833,21.34,76,97,3.02
45,Divnomorskoye,RU,2021-03-25 01:02:31,44.5011,38.1353,35.29,89,100,5.88
46,Puerto Leguizamo,CO,2021-03-25 01:00:14,-0.1934,-74.7819,73.04,96,98,1.28
47,Chokurdakh,RU,2021-03-25 01:02:32,70.6333,147.9167,-12.06,95,83,5.75
48,Cayenne,GF,2021-03-25 01:02:32,4.9333,-52.3333,81.0,88,20,2.3
49,Emerald,AU,2021-03-25 01:02:33,-23.5333,148.1667,84.99,39,5,10.36
50,Bluff,NZ,2021-03-25 01:02:33,-46.6,168.3333,63.0,75,11,3.0
51,Svatove,UA,2021-03-25 01:02:33,49.4103,38.1503,32.88,98,100,13.87
52,Pangkalanbuun,ID,2021-03-25 01:02:34,-2.6833,111.6167,82.2,74,100,1.61
53,Peleduy,RU,2021-03-25 01:02:34,59.6289,112.7406,14.63,90,100,2.39
54,Presidencia Roque Saenz Pena,AR,2021-03-25 01:02:34,-26.7852,-60.4388,81.0,77,29,1.01
55,Luderitz,NA,2021-03-25 01:02:35,-26.6481,15.1594,63.99,85,1,6.2
56,San Cristobal,VE,2021-03-25 01:02:35,7.7669,-72.225,78.8,73,40,2.3
57,Thompson,CA,2021-03-25 01:02:36,55.7435,-97.8558,12.2,48,75,6.91
58,Dikson,RU,2021-03-25 01:02:36,73.5069,80.5464,-3.87,99,96,3.44
59,Tuktoyaktuk,CA,2021-03-25 01:02:36,69.4541,-133.0374,5.0,72,90,10.36
60,Lebu,CL,2021-03-25 01:02:37,-37.6167,-73.65,54.43,65,50,18.43
61,Marathon,US,2021-03-25 01:02:37,44.9,-89.7668,44.6,76,90,21.85
62,Okhotsk,RU,2021-03-25 01:02:38,59.3833,143.3,6.3,70,100,9.78
63,Codrington,AU,2021-03-25 01:02:38,-38.2667,141.9667,63.64,67,9,17.43
64,Kahului,US,2021-03-25 01:02:38,20.8947,-156.47,82.4,69,40,9.22
65,Jega,NG,2021-03-25 01:02:39,12.2175,4.3792,82.81,12,57,5.57
66,Nikolskoye,RU,2021-03-25 01:02:39,59.7035,30.7861,37.99,81,90,8.95
67,Yellowknife,CA,2021-03-25 01:02:40,62.456,-114.3525,8.6,52,1,9.22
68,Bredasdorp,ZA,2021-03-25 01:02:40,-34.5322,20.0403,64.4,88,99,9.22
69,Mahebourg,MU,2021-03-25 01:02:41,-20.4081,57.7,73.4,100,20,4.61
70,East London,ZA,2021-03-25 01:02:41,-33.0153,27.9116,68.05,86,100,10.67
71,Ipixuna,BR,2021-03-25 01:02:42,-1.7625,-48.8043,75.2,100,75,3.44
72,Kruisfontein,ZA,2021-03-25 01:02:42,-34.0033,24.7314,70.0,81,100,5.99
73,Gizo,SB,2021-03-25 01:02:43,-8.103,156.8419,84.88,67,100,5.14
74,Swan Hill,AU,2021-03-25 01:02:43,-35.3378,143.5544,68.23,38,1,15.97
